2026-09-09 21:48:54 - __main__ - INFO - Class Logger initiated.
2026-09-09 21:48:54 - __main__ - INFO - {'platform': 'Google Locations', 'product': 'Metropolitan Dental Health Clinic', 'filtered_df':           Review_ID          Platform              Product/Location_Name                                        Review_Text  Rating        Date  Helpful_Votes
0     REV-GOO-00001  Google Locations  Metropolitan Dental Health Clinic  Terrible hygiene and filthy tables. Saw flies ...       1  13.10.2022              1
13    REV-GOO-00014  Google Locations  Metropolitan Dental Health Clinic  Wonderful experience overall. The staff was co...       4  23.06.2023              0
42    REV-GOO-00043  Google Locations  Metropolitan Dental Health Clinic  Review update after 3 months: Wonderful experi...       4  04.05.2023              0
48    REV-GOO-00049  Google Locations  Metropolitan Dental Health Clinic  Mediocre stay. Cleanliness was questionable an...       2  04.12.2023              1
57    REV-GOO-00058  Google Locations  Metropolitan Dental Health Clinic  Honestly, exceptional service from check-in to...       5  23.02.2024              0
...             ...               ...                                ...                                                ...     ...         ...            ...
6012  REV-GOO-06013  Google Locations  Metropolitan Dental Health Clinic  Summary: Extremely unprofessional. Had an appo...       1  02.08.2023             30
6093  REV-GOO-06094  Google Locations  Metropolitan Dental Health Clinic  Mediocre stay. Cleanliness was questionable an...       2  08.11.2022              2
6139  REV-GOO-06140  Google Locations  Metropolitan Dental Health Clinic  Absolute 5-star experience! Our server was kno...       5  05.01.2022             31
6151  REV-GOO-06152  Google Locations  Metropolitan Dental Health Clinic  Bought this recently. Phenomenal dining experi...       5  19.12.2023              1
6188  REV-GOO-06189  Google Locations  Metropolitan Dental Health Clinic  Exceptional service from check-in to departure...       5  11.09.2023              0

